Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2020,Washoe,NV,Passenger,1,0,1,111,112,0.89
June 30 2024,Albemarle,VA,Passenger,1,0,1,12,13,7.69
April 30 2021,Thurston,WA,Passenger,1494,833,2327,197765,200092,1.16
November 30 2019,Okanogan,WA,Passenger,27,30,57,26219,26276,0.22
August 31 2019,San Diego,CA,Passenger,11,4,15,2752,2767,0.54
October 31 2018,Dallas,TX,Passenger,0,1,1,208,209,0.48
October 31 2023,Ventura,CA,Passenger,2,3,5,212,217,2.30
March 31 2023,Virginia Beach,VA,Passenger,4,1,5,469,474,1.05
May 31 2018,Santa Rosa,FL,Passenger,1,0,1,100,101,0.99
February 28 2021,DeKalb,IN,Passenger,1,0,1,0,1,100.00
March 31 2020,Powhatan,VA,Passenger,1,0,1,1,2,50.00
February 28 2021,Clark,WA,Passenger,2507,1245,3752,318779,322531,1.16
March 31 2024,Douglas,WA,Passenger,271,89,360,28837,29197,1.23
March 31 2024,Snohomish,WA,Truck,319,0,319,119332,119651,0.27
September 30 2023,Santa Clara,CA,Passenger,16,2,18,173,191,9.42
January 31 2021,Ramsey,MN,Passenger,1,0,1,39,40,2.50
July 31 2023,Salt Lake,UT,Passenger,2,1,3,117,120,2.50
April 30 2021,Bradley,TN,Passenger,1,0,1,0,1,100.00
May 31 2021,Washington,OR,Passenger,1,0,1,410,411,0.24
January 31 2023,Kitsap,WA,Truck,40,0,40,52809,52849,0.08
November 30 2019,San Joaquin,CA,Passenger,1,0,1,143,144,0.69
June 30 2023,San Francisco,CA,Passenger,2,0,2,65,67,2.99
February 28 2019,Tarrant,TX,Passenger,2,0,2,208,210,0.95
June 30 2018,Orange,FL,Passenger,2,1,3,176,179,1.68
April 30 2023,Columbia,OR,Passenger,1,0,1,13,14,7.14
January 31 2020,Montgomery,OH,Passenger,0,1,1,49,50,2.00
March 31 2017,Snohomish,WA,Passenger,1657,848,2505,513314,515819,0.49
December 31 2020,Ferry,WA,Truck,0,0,0,3608,3608,0.00
August 31 2020,Arlington,VA,Passenger,0,2,2,152,154,1.30
April 30 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
March 31 2021,Pennington,SD,Passenger,1,0,1,33,34,2.94
April 30 2023,Washington,OR,Passenger,1,0,1,261,262,0.38
October 31 2019,Boulder,CO,Passenger,1,1,2,56,58,3.45
September 30 2017,Sedgwick,KS,Passenger,0,1,1,104,105,0.95
August 31 2020,Henrico,VA,Passenger,0,1,1,19,20,5.00
July 31 2023,Pacific,WA,Passenger,76,93,169,15605,15774,1.07
November 30 2022,Virginia Beach,VA,Passenger,2,1,3,492,495,0.61
March 31 2020,Lake,IL,Passenger,1,0,1,177,178,0.56
August 31 2022,Pierce,WA,Passenger,5420,2392,7812,541746,549558,1.42
July 31 2020,Grant,WA,Truck,0,0,0,27168,27168,0.00
January 31 2018,Missoula,MT,Passenger,1,0,1,67,68,1.47
March 31 2017,Hardin,KY,Passenger,0,1,1,122,123,0.81
March 31 2024,Currituck,NC,Passenger,1,0,1,17,18,5.56
June 30 2024,Carroll,MD,Passenger,0,1,1,10,11,9.09
October 31 2020,Tarrant,TX,Passenger,1,0,1,175,176,0.57
December 31 2019,Greene,MO,Passenger,0,1,1,33,34,2.94
May 31 2019,Snohomish,WA,Passenger,3373,1572,4945,530177,535122,0.92
October 31 2022,Mason,WA,Passenger,348,185,533,46896,47429,1.12
April 30 2018,Ferry,WA,Truck,0,0,0,3499,3499,0.00
April 30 2017,Harnett,NC,Passenger,1,0,1,260,261,0.38
October 31 2019,New London,CT,Passenger,0,1,1,240,241,0.41
February 28 2017,Allegheny,PA,Passenger,1,0,1,92,93,1.08
October 31 2021,Pend Oreille,WA,Passenger,18,7,25,9198,9223,0.27
May 31 2019,Nueces,TX,Passenger,1,1,2,96,98,2.04
August 31 2023,Cumberland,NC,Passenger,1,3,4,320,324,1.23
February 28 2022,Pulaski,MO,Passenger,2,0,2,123,125,1.60
November 30 2023,Platte,MO,Passenger,2,0,2,19,21,9.52
January 31 2020,Snohomish,WA,Passenger,4245,1717,5962,537717,543679,1.10
August 31 2018,San Juan,WA,Passenger,152,66,218,14144,14362,1.52
July 31 2021,Spokane,WA,Truck,0,0,0,102245,102245,0.00
January 31 2017,Virginia Beach,VA,Passenger,2,1,3,650,653,0.46
August 31 2017,Franklin,OH,Passenger,0,1,1,114,115,0.87
November 30 2017,Santa Clara,CA,Passenger,7,1,8,393,401,2.00
January 31 2021,Santa Cruz,CA,Passenger,1,0,1,31,32,3.12
April 30 2018,DuPage,IL,Passenger,1,0,1,67,68,1.47
August 31 2023,Newport,RI,Passenger,0,1,1,60,61,1.64
October 31 2018,Allegheny,PA,Passenger,1,0,1,92,93,1.08
March 31 2019,Harnett,NC,Passenger,1,0,1,222,223,0.45
November 30 2022,Platte,MO,Passenger,1,0,1,21,22,4.55
November 30 2023,San Juan,WA,Passenger,678,190,868,13668,14536,5.97
October 31 2021,Pima,AZ,Passenger,1,1,2,291,293,0.68
September 30 2017,Contra Costa,CA,Passenger,0,1,1,498,499,0.20
April 30 2019,Walla Walla,WA,Truck,0,0,0,13603,13603,0.00
April 30 2021,Alameda,CA,Passenger,4,0,4,259,263,1.52
April 30 2021,Montgomery,OH,Passenger,0,1,1,57,58,1.72
October 31 2021,Nueces,TX,Passenger,1,0,1,69,70,1.43
May 31 2023,Spokane,WA,Truck,38,0,38,101666,101704,0.04
March 31 2020,Harford,MD,Passenger,0,1,1,60,61,1.64
February 28 2022,Chelan,WA,Truck,0,0,0,23058,23058,0.00
June 30 2020,Spokane,WA,Truck,1,0,1,98296,98297,0.00
October 31 2017,Columbia,WA,Truck,0,0,0,1543,1543,0.00
October 31 2020,Salt Lake,UT,Passenger,0,1,1,193,194,0.52
April 30 2024,San Diego,CA,Passenger,20,8,28,1779,1807,1.55
January 31 2023,District of Columbia,DC,Passenger,2,0,2,154,156,1.28
April 30 2019,Clark,WA,Passenger,1414,897,2311,312497,314808,0.73
November 30 2023,Pend Oreille,WA,Passenger,33,21,54,8781,8835,0.61
March 31 2019,St. Lucie,FL,Passenger,1,0,1,29,30,3.33
August 31 2017,Fulton,GA,Passenger,1,0,1,111,112,0.89
March 31 2019,Shelby,TN,Passenger,0,1,1,101,102,0.98
July 31 2023,Newport News,VA,Passenger,1,0,1,102,103,0.97
November 30 2017,Grant,WA,Passenger,24,33,57,61886,61943,0.09
March 31 2022,New Haven,CT,Passenger,0,2,2,34,36,5.56
November 30 2021,Lincoln,WA,Truck,0,0,0,4808,4808,0.00
January 31 2018,Franklin,WA,Passenger,31,51,82,57007,57089,0.14
November 30 2023,Cochise,AZ,Passenger,1,0,1,54,55,1.82
August 31 2020,Hudson,NJ,Passenger,1,0,1,39,40,2.50
October 31 2017,Cowlitz,WA,Passenger,54,65,119,70423,70542,0.17
July 31 2019,Garfield,WA,Passenger,1,1,2,1296,1298,0.15
May 31 2018,Fulton,GA,Passenger,1,2,3,101,104,2.88
March 31 2017,Santa Fe,NM,Passenger,0,1,1,45,46,2.17
May 31 2019,Dallas,TX,Passenger,1,0,1,212,213,0.47
July 31 2023,Collin,TX,Passenger,4,0,4,50,54,7.41
May 31 2024,Garfield,WA,Passenger,0,3,3,1302,1305,0.23
September 30 2022,Gwinnett,GA,Passenger,1,0,1,57,58,1.72
May 31 2017,Santa Fe,NM,Passenger,0,1,1,46,47,2.13
January 31 2022,Penobscot,ME,Passenger,0,1,1,7,8,12.50
January 31 2022,Grays Harbor,WA,Passenger,197,158,355,49310,49665,0.71
November 30 2020,Grant,WA,Passenger,78,79,157,65742,65899,0.24
February 28 2017,Whatcom,WA,Truck,2,0,2,41322,41324,0.00
April 30 2020,Kootenai,ID,Passenger,1,1,2,227,229,0.87
February 28 2017,Pierce,WA,Passenger,862,778,1640,526646,528286,0.31
August 31 2022,Skagit,WA,Truck,5,0,5,32187,32192,0.02
October 31 2023,Ada,ID,Passenger,2,0,2,108,110,1.82
October 31 2020,Maui,HI,Passenger,2,0,2,32,34,5.88
February 28 2023,Kauai,HI,Passenger,1,1,2,15,17,11.76
March 31 2024,Hennepin,MN,Passenger,1,0,1,26,27,3.70
October 31 2023,Williamsburg,VA,Passenger,0,1,1,4,5,20.00
September 30 2019,Virginia Beach,VA,Passenger,1,0,1,697,698,0.14
October 31 2022,Ulster,NY,Passenger,1,0,1,10,11,9.09
December 31 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
February 29 2024,Pierce,WA,Passenger,10070,3312,13382,522580,535962,2.50
September 30 2017,Clallam,WA,Passenger,95,83,178,48612,48790,0.36
September 30 2022,Adams,WA,Truck,1,0,1,5421,5422,0.02
August 31 2017,Madison,ID,Passenger,1,0,1,37,38,2.63
September 30 2020,Utah,UT,Passenger,0,1,1,140,141,0.71
November 30 2021,Grant,WA,Passenger,131,97,228,66900,67128,0.34
January 31 2020,Mason,WA,Passenger,150,133,283,47612,47895,0.59
April 30 2022,Honolulu,HI,Passenger,5,4,9,395,404,2.23
July 31 2022,Bell,TX,Passenger,1,0,1,324,325,0.31
December 31 2021,Nueces,TX,Passenger,1,1,2,69,71,2.82
September 30 2022,Burlington,NJ,Passenger,0,2,2,98,100,2.00
December 31 2017,Spokane,WA,Passenger,297,240,537,300040,300577,0.18
October 31 2019,Mason,WA,Passenger,140,127,267,47553,47820,0.56
February 29 2020,Anne Arundel,MD,Passenger,1,1,2,424,426,0.47
August 31 2019,Island,WA,Truck,0,0,0,21263,21263,0.00
October 31 2020,Lee,FL,Passenger,1,0,1,48,49,2.04
January 31 2020,Albemarle,VA,Passenger,1,0,1,26,27,3.70
August 31 2019,Jefferson,CO,Passenger,0,2,2,56,58,3.45
August 31 2018,Clackamas,OR,Passenger,0,1,1,223,224,0.45
May 31 2023,Arlington,VA,Passenger,1,0,1,113,114,0.88
May 31 2021,Fulton,GA,Passenger,0,1,1,90,91,1.10
November 30 2022,Santa Cruz,CA,Passenger,1,0,1,26,27,3.70
March 31 2021,Bucks,PA,Passenger,1,0,1,22,23,4.35
February 28 2021,San Diego,CA,Passenger,14,3,17,2678,2695,0.63
April 30 2021,Platte,MO,Passenger,1,0,1,19,20,5.00
December 31 2021,Currituck,NC,Passenger,1,0,1,23,24,4.17
September 30 2019,Harrison,MS,Passenger,1,0,1,63,64,1.56
March 31 2023,Santa Cruz,CA,Passenger,1,0,1,22,23,4.35
October 31 2023,New Haven,CT,Passenger,0,2,2,26,28,7.14
August 31 2021,Shelby,OH,Passenger,0,1,1,4,5,20.00
July 31 2022,King,WA,Truck,123,2,125,180198,180323,0.07
January 31 2018,Orange,FL,Passenger,2,1,3,167,170,1.76
October 31 2019,Oklahoma,OK,Passenger,0,1,1,137,138,0.72
March 31 2021,Ventura,CA,Passenger,1,2,3,284,287,1.05
March 31 2017,Montgomery,PA,Passenger,1,0,1,42,43,2.33
January 31 2019,Clay,FL,Passenger,0,1,1,87,88,1.14
April 30 2018,Saratoga,NY,Passenger,1,1,2,64,66,3.03
March 31 2021,Milwaukee,WI,Passenger,1,0,1,44,45,2.22
August 31 2017,Clallam,WA,Truck,0,0,0,21059,21059,0.00
January 31 2018,Pacific,WA,Truck,0,0,0,7530,7530,0.00
January 31 2018,Nassau,NY,Passenger,1,0,1,40,41,2.44
March 31 2022,Cumberland,NC,Passenger,1,4,5,400,405,1.23
May 31 2017,Duval,FL,Passenger,1,1,2,372,374,0.53
July 31 2023,Lake,IL,Passenger,3,0,3,126,129,2.33
May 31 2021,Calvert,MD,Passenger,0,2,2,92,94,2.13
September 30 2023,Sarasota,FL,Passenger,1,0,1,27,28,3.57
February 28 2023,Pend Oreille,WA,Passenger,26,13,39,8915,8954,0.44
March 31 2021,Dallas,TX,Passenger,1,0,1,179,180,0.56
January 31 2020,Okanogan,WA,Truck,0,0,0,16553,16553,0.00
February 29 2020,Prince William,VA,Passenger,2,4,6,235,241,2.49
December 31 2018,Alameda,CA,Passenger,0,2,2,333,335,0.60
June 30 2020,Penobscot,ME,Passenger,0,1,1,13,14,7.14
July 31 2019,Yakima,WA,Passenger,109,107,216,165355,165571,0.13
July 31 2020,El Paso,CO,Passenger,3,1,4,723,727,0.55
March 31 2017,San Mateo,CA,Passenger,0,1,1,157,158,0.63
February 29 2024,Cochise,AZ,Passenger,1,0,1,50,51,1.96
November 30 2023,Essex,MA,Passenger,1,0,1,11,12,8.33
October 31 2021,Rogers,OK,Passenger,1,0,1,5,6,16.67
October 31 2017,Kittitas,WA,Passenger,34,23,57,28109,28166,0.20
October 31 2020,Stafford,VA,Passenger,1,1,2,103,105,1.90
June 30 2017,Montgomery,MD,Passenger,1,0,1,310,311,0.32
May 31 2019,Klickitat,WA,Truck,0,0,0,8232,8232,0.00
November 30 2023,Sarasota,FL,Passenger,1,0,1,24,25,4.00
March 31 2021,Whitman,WA,Truck,0,0,0,8552,8552,0.00
March 31 2019,Tulsa,OK,Passenger,1,1,2,54,56,3.57
May 31 2024,Collier,FL,Passenger,1,0,1,9,10,10.00
September 30 2023,Kent,DE,Passenger,1,0,1,37,38,2.63
June 30 2018,Clay,FL,Passenger,0,1,1,94,95,1.05
August 31 2020,Kern,CA,Passenger,0,1,1,222,223,0.45
June 30 2022,Queens,NY,Passenger,1,0,1,45,46,2.17
June 30 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
January 31 2024,Marion,IA,Passenger,1,0,1,0,1,100.00
August 31 2021,New London,CT,Passenger,1,3,4,214,218,1.83
November 30 2021,Philadelphia,PA,Passenger,1,0,1,46,47,2.13
May 31 2021,Clark,WA,Truck,0,0,0,84140,84140,0.00
June 30 2024,Whitman,WA,Passenger,226,128,354,21427,21781,1.63
May 31 2024,Pacific,WA,Passenger,109,105,214,15417,15631,1.37
June 30 2017,Okanogan,WA,Truck,0,0,0,16201,16201,0.00
February 28 2021,Harris,TX,Passenger,1,1,2,246,248,0.81
June 30 2020,Brevard,FL,Passenger,0,1,1,87,88,1.14
March 31 2018,Alameda,CA,Passenger,0,1,1,359,360,0.28
December 31 2021,Essex,NJ,Passenger,2,0,2,14,16,12.50
July 31 2022,Randolph,NC,Passenger,1,0,1,5,6,16.67
August 31 2023,Skamania,WA,Truck,1,0,1,3832,3833,0.03
September 30 2022,Asotin,WA,Passenger,25,19,44,12563,12607,0.35
April 30 2019,Alexandria,VA,Passenger,1,0,1,151,152,0.66
February 29 2024,Collin,TX,Passenger,2,0,2,38,40,5.00
June 30 2022,Harrison,MS,Passenger,1,0,1,51,52,1.92
December 31 2020,Ada,ID,Passenger,0,1,1,266,267,0.37
November 30 2018,Douglas,WA,Passenger,49,33,82,27962,28044,0.29
October 31 2018,Jefferson,WA,Truck,0,0,0,9604,9604,0.00
January 31 2024,Pacific,WA,Truck,6,0,6,7836,7842,0.08
November 30 2023,Wake,NC,Passenger,3,0,3,75,78,3.85
January 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
May 31 2017,Harnett,NC,Passenger,1,0,1,265,266,0.38
August 31 2022,Solano,CA,Passenger,2,0,2,162,164,1.22
June 30 2024,,,Passenger,5,4,9,374,383,2.35
January 31 2023,Hardin,KY,Passenger,1,0,1,57,58,1.72
January 31 2018,Orleans,LA,Passenger,0,1,1,46,47,2.13
July 31 2017,Hawaii,HI,Passenger,1,0,1,83,84,1.19
December 31 2019,Placer,CA,Passenger,1,0,1,103,104,0.96
October 31 2019,Berkshire,MA,Passenger,0,1,1,4,5,20.00
July 31 2019,Carson City,NV,Passenger,1,0,1,11,12,8.33
July 31 2022,Isle of Wight,VA,Passenger,0,1,1,20,21,4.76
February 28 2019,Calvert,MD,Passenger,0,1,1,87,88,1.14
April 30 2017,Montgomery,PA,Passenger,1,0,1,41,42,2.38
August 31 2018,DeKalb,GA,Passenger,1,0,1,81,82,1.22
June 30 2024,Whitman,WA,Truck,11,0,11,8465,8476,0.13
August 31 2021,Fulton,GA,Passenger,0,1,1,85,86,1.16
November 30 2020,Williamson,TX,Passenger,0,2,2,137,139,1.44
March 31 2021,Queens,NY,Passenger,2,0,2,52,54,3.70
January 31 2022,Garfield,WA,Truck,0,0,0,994,994,0.00
July 31 2017,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
February 28 2021,Pacific,WA,Passenger,37,38,75,15806,15881,0.47
April 30 2023,St. Clair,IL,Passenger,1,0,1,110,111,0.90
March 31 2020,Multnomah,OR,Passenger,4,7,11,752,763,1.44
November 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
January 31 2023,Lincoln,WA,Passenger,14,19,33,7756,7789,0.42
January 31 2022,Douglas,CO,Passenger,0,1,1,89,90,1.11
February 28 2018,Kitsap,WA,Truck,1,0,1,52843,52844,0.00
September 30 2022,Sarpy,NE,Passenger,1,0,1,66,67,1.49
April 30 2023,El Paso,CO,Passenger,3,2,5,527,532,0.94
October 31 2022,Douglas,WA,Truck,2,0,2,12807,12809,0.02
August 31 2021,Richland,SC,Passenger,0,1,1,142,143,0.70
October 31 2018,DeKalb,GA,Passenger,1,0,1,80,81,1.23
January 31 2021,Solano,CA,Passenger,1,0,1,201,202,0.50
February 28 2017,Grays Harbor,WA,Truck,0,0,0,19817,19817,0.00
April 30 2018,Orange,FL,Passenger,2,1,3,171,174,1.72
October 31 2023,Cumberland,NC,Passenger,1,3,4,313,317,1.26
April 30 2023,Sarpy,NE,Passenger,1,0,1,64,65,1.54
July 31 2020,Randolph,NC,Passenger,1,0,1,8,9,11.11
December 31 2019,Stevens,WA,Truck,0,0,0,18755,18755,0.00
March 31 2019,Grant,WA,Truck,0,0,0,26330,26330,0.00
October 31 2020,Charleston,SC,Passenger,2,0,2,96,98,2.04
September 30 2018,Queens,NY,Passenger,1,0,1,62,63,1.59
January 31 2023,Skagit,WA,Truck,11,0,11,32060,32071,0.03
June 30 2020,Wahkiakum,WA,Passenger,6,6,12,2991,3003,0.40
October 31 2018,Duval,FL,Passenger,1,2,3,382,385,0.78
February 29 2024,Sacramento,CA,Passenger,1,1,2,140,142,1.41
April 30 2023,Portsmouth,VA,Passenger,0,1,1,67,68,1.47
May 31 2022,York,VA,Passenger,1,0,1,88,89,1.12
May 31 2022,Walla Walla,WA,Passenger,171,96,267,35939,36206,0.74
September 30 2022,Skamania,WA,Truck,0,0,0,3903,3903,0.00
June 30 2020,Douglas,WA,Truck,0,0,0,12303,12303,0.00
September 30 2020,Franklin,WA,Truck,0,0,0,20282,20282,0.00
December 31 2023,Essex,MA,Passenger,1,0,1,11,12,8.33
February 28 2023,King,WA,Passenger,50976,12797,63773,1327956,1391729,4.58
January 31 2019,Santa Clara,CA,Passenger,8,1,9,380,389,2.31
March 31 2019,Richland,SC,Passenger,0,1,1,168,169,0.59
February 28 2023,Norfolk,MA,Passenger,1,0,1,22,23,4.35
December 31 2018,Lewis,WA,Truck,0,0,0,25633,25633,0.00
January 31 2022,Allen,IN,Passenger,1,0,1,19,20,5.00
April 30 2020,Collier,FL,Passenger,1,0,1,21,22,4.55
July 31 2022,Howard,IN,Passenger,0,1,1,4,5,20.00
January 31 2017,Clark,WA,Passenger,673,426,1099,297784,298883,0.37
March 31 2019,Fairfax,VA,Passenger,4,1,5,801,806,0.62
May 31 2017,Anne Arundel,MD,Passenger,0,1,1,505,506,0.20
July 31 2017,Jefferson,WA,Truck,0,0,0,9410,9410,0.00
October 31 2019,Cumberland,NC,Passenger,0,2,2,503,505,0.40
February 28 2017,Middlesex,MA,Passenger,1,0,1,155,156,0.64
January 31 2024,Portsmouth,VA,Passenger,0,1,1,59,60,1.67
September 30 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
December 31 2021,Okanogan,WA,Passenger,69,45,114,26573,26687,0.43
December 31 2017,Skamania,WA,Truck,0,0,0,3896,3896,0.00
April 30 2020,Travis,TX,Passenger,3,1,4,197,201,1.99
December 31 2023,Cumberland,PA,Passenger,1,1,2,31,33,6.06
January 31 2018,Stevens,WA,Passenger,10,22,32,31597,31629,0.10
October 31 2019,San Juan,WA,Truck,0,0,0,5921,5921,0.00
March 31 2021,Maricopa,AZ,Passenger,5,7,12,1385,1397,0.86
April 30 2020,Deschutes,OR,Passenger,4,0,4,154,158,2.53
February 28 2022,Juneau,AK,Passenger,0,1,1,33,34,2.94
November 30 2021,Pierce,WA,Passenger,4128,2105,6233,556551,562784,1.11
July 31 2021,Cowlitz,WA,Truck,0,0,0,29102,29102,0.00
September 30 2022,Garfield,WA,Truck,0,0,0,966,966,0.00
May 31 2018,Allegheny,PA,Passenger,1,0,1,81,82,1.22
July 31 2020,Maui,HI,Passenger,2,0,2,36,38,5.26
August 31 2021,Cowlitz,WA,Passenger,237,152,389,72081,72470,0.54
December 31 2022,Walla Walla,WA,Passenger,201,105,306,35647,35953,0.85
January 31 2020,Pend Oreille,WA,Passenger,8,7,15,9466,9481,0.16
February 28 2022,Leavenworth,KS,Passenger,0,1,1,98,99,1.01
November 30 2021,Suffolk,VA,Passenger,1,0,1,123,124,0.81
July 31 2021,Carroll,MD,Passenger,0,1,1,18,19,5.26
September 30 2019,Clark,WA,Truck,0,0,0,80940,80940,0.00
February 28 2019,Columbia,WA,Passenger,2,2,4,2430,2434,0.16
May 31 2018,Yakima,WA,Truck,0,0,0,58329,58329,0.00
March 31 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
May 31 2017,Wayne,MI,Passenger,0,1,1,71,72,1.39
May 31 2023,Brown,WI,Passenger,1,0,1,6,7,14.29
June 30 2020,Rogers,OK,Passenger,1,0,1,7,8,12.50
July 31 2020,Orange,CA,Passenger,7,2,9,503,512,1.76
June 30 2024,San Mateo,CA,Passenger,3,0,3,45,48,6.25
May 31 2021,Pierce,WA,Truck,0,0,0,145774,145774,0.00
May 31 2023,Ferry,WA,Passenger,20,4,24,4315,4339,0.55
January 31 2023,Clark,NV,Passenger,10,2,12,490,502,2.39
May 31 2020,Harris,TX,Passenger,1,0,1,268,269,0.37
January 31 2023,Salt Lake,UT,Passenger,1,1,2,135,137,1.46
May 31 2022,Ulster,NY,Passenger,1,0,1,14,15,6.67
May 31 2018,Fairfax,VA,Passenger,3,1,4,833,837,0.48
March 31 2021,Harris,TX,Passenger,1,1,2,244,246,0.81
April 30 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
July 31 2021,Grant,WA,Passenger,120,90,210,66876,67086,0.31
June 30 2021,Ferry,WA,Truck,0,0,0,3643,3643,0.00
October 31 2019,Pima,AZ,Passenger,2,1,3,404,407,0.74
July 31 2020,Alameda,CA,Passenger,2,0,2,279,281,0.71
November 30 2020,Newport,RI,Passenger,0,1,1,83,84,1.19
March 31 2024,Shelby,AL,Passenger,1,0,1,4,5,20.00
April 30 2021,Hampshire,MA,Passenger,1,0,1,9,10,10.00
January 31 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
May 31 2022,Skagit,WA,Truck,2,0,2,32368,32370,0.01
February 29 2020,Chelan,WA,Truck,0,0,0,22568,22568,0.00
October 31 2018,Pend Oreille,WA,Truck,0,0,0,5755,5755,0.00
June 30 2018,Grays Harbor,WA,Passenger,52,58,110,46569,46679,0.24
July 31 2020,San Juan,WA,Passenger,311,94,405,13950,14355,2.82
December 31 2020,Washington,OR,Passenger,1,0,1,432,433,0.23
June 30 2020,Orange,CA,Passenger,7,2,9,512,521,1.73
May 31 2017,Tulare,CA,Passenger,1,0,1,194,195,0.51
January 31 2024,Burlington,NJ,Passenger,0,2,2,79,81,2.47
May 31 2020,Kent,MI,Passenger,0,1,1,27,28,3.57
January 31 2020,Fairfax,VA,Passenger,5,1,6,765,771,0.78
February 28 2022,Yellowstone,MT,Passenger,0,1,1,28,29,3.45
November 30 2021,Williams,ND,Passenger,0,1,1,8,9,11.11
May 31 2019,Okanogan,WA,Passenger,21,23,44,26060,26104,0.17
February 28 2021,Klickitat,WA,Passenger,65,45,110,14991,15101,0.73
September 30 2022,Whitman,WA,Truck,2,0,2,8574,8576,0.02
August 31 2018,Arlington,VA,Passenger,1,1,2,174,176,1.14
August 31 2019,Sangamon,IL,Passenger,1,0,1,6,7,14.29
March 31 2024,Prince George's,MD,Passenger,3,1,4,105,109,3.67
October 31 2022,San Juan,WA,Passenger,548,165,713,13962,14675,4.86
February 28 2017,Fairfax,VA,Passenger,3,2,5,871,876,0.57
April 30 2017,Middlesex,MA,Passenger,1,0,1,145,146,0.68
June 30 2022,Geary,KS,Passenger,1,0,1,86,87,1.15
August 31 2023,Leavenworth,KS,Passenger,0,1,1,80,81,1.23
November 30 2022,Howard,MD,Passenger,0,2,2,61,63,3.17
April 30 2024,Mason,WA,Passenger,604,250,854,45764,46618,1.83
February 29 2020,Grays Harbor,WA,Passenger,109,108,217,48361,48578,0.45
December 31 2021,Whitman,WA,Truck,0,0,0,8554,8554,0.00
August 31 2020,Clackamas,OR,Passenger,2,0,2,192,194,1.03
January 31 2022,Placer,CA,Passenger,2,0,2,79,81,2.47
March 31 2021,Orange,FL,Passenger,1,0,1,122,123,0.81
March 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,102,103,0.97
September 30 2018,Monterey,CA,Passenger,0,1,1,191,192,0.52
July 31 2022,Goochland,VA,Passenger,3,2,5,145,150,3.33
March 31 2022,St. Mary's,MD,Passenger,1,0,1,205,206,0.49
May 31 2017,Morris,NJ,Passenger,1,0,1,24,25,4.00
November 30 2023,King,WA,Truck,963,2,965,173154,174119,0.55
February 28 2022,Tarrant,TX,Passenger,3,0,3,150,153,1.96
January 31 2017,Grant,WA,Passenger,16,21,37,60381,60418,0.06
September 30 2021,Fresno,CA,Passenger,1,0,1,184,185,0.54
February 28 2019,Wahkiakum,WA,Truck,0,0,0,1720,1720,0.00
March 31 2022,Pima,AZ,Passenger,1,1,2,277,279,0.72
